episode,seed,steps,total_reward,result,terminated,truncated
1,42,246,236.470000,SUCCESS,True,False
2,43,246,236.920000,SUCCESS,True,False
3,44,246,236.620000,SUCCESS,True,False
4,45,246,236.570000,SUCCESS,True,False
5,46,151,-11.880000,DEATH,True,False
6,47,246,236.620000,SUCCESS,True,False
7,48,246,236.570000,SUCCESS,True,False
8,49,246,236.720000,SUCCESS,True,False
9,50,246,236.570000,SUCCESS,True,False
10,51,246,236.570000,SUCCESS,True,False
11,52,148,-12.420000,DEATH,True,False
12,53,246,236.420000,SUCCESS,True,False
13,54,150,-12.110000,DEATH,True,False
14,55,246,236.620000,SUCCESS,True,False
15,56,148,-12.470000,DEATH,True,False
16,57,246,236.570000,SUCCESS,True,False
17,58,246,236.570000,SUCCESS,True,False
18,59,246,236.620000,SUCCESS,True,False
19,60,246,236.620000,SUCCESS,True,False
20,61,246,236.570000,SUCCESS,True,False
21,62,149,-12.390000,DEATH,True,False
22,63,246,236.620000,SUCCESS,True,False
23,64,246,236.620000,SUCCESS,True,False
24,65,246,236.920000,SUCCESS,True,False
25,66,246,236.720000,SUCCESS,True,False
26,67,246,236.570000,SUCCESS,True,False
27,68,246,236.420000,SUCCESS,True,False
28,69,246,236.420000,SUCCESS,True,False
29,70,150,-12.160000,DEATH,True,False
30,71,246,236.720000,SUCCESS,True,False
31,72,246,236.570000,SUCCESS,True,False
32,73,246,236.570000,SUCCESS,True,False
33,74,152,-11.650000,DEATH,True,False
34,75,246,236.720000,SUCCESS,True,False
35,76,246,236.570000,SUCCESS,True,False
36,77,246,236.770000,SUCCESS,True,False
37,78,153,-11.420000,DEATH,True,False
38,79,246,236.570000,SUCCESS,True,False
39,80,246,236.570000,SUCCESS,True,False
40,81,246,236.620000,SUCCESS,True,False
41,82,246,236.570000,SUCCESS,True,False
42,83,246,236.570000,SUCCESS,True,False
43,84,246,236.470000,SUCCESS,True,False
44,85,246,236.720000,SUCCESS,True,False
45,86,246,236.470000,SUCCESS,True,False
46,87,246,236.570000,SUCCESS,True,False
47,88,246,236.570000,SUCCESS,True,False
48,89,246,236.570000,SUCCESS,True,False
49,90,246,236.570000,SUCCESS,True,False
50,91,246,236.570000,SUCCESS,True,False
51,92,246,236.570000,SUCCESS,True,False
52,93,150,-12.160000,DEATH,True,False
53,94,246,236.570000,SUCCESS,True,False
54,95,246,236.470000,SUCCESS,True,False
55,96,246,236.570000,SUCCESS,True,False
56,97,246,236.720000,SUCCESS,True,False
57,98,246,236.720000,SUCCESS,True,False
58,99,246,236.570000,SUCCESS,True,False
59,100,246,236.570000,SUCCESS,True,False
60,101,246,236.570000,SUCCESS,True,False
61,102,246,236.570000,SUCCESS,True,False
62,103,148,-12.420000,DEATH,True,False
63,104,148,-12.470000,DEATH,True,False
64,105,151,-11.930000,DEATH,True,False
65,106,246,236.420000,SUCCESS,True,False
66,107,246,236.570000,SUCCESS,True,False
67,108,246,236.620000,SUCCESS,True,False
68,109,246,236.570000,SUCCESS,True,False
69,110,149,-12.390000,DEATH,True,False
70,111,152,-11.700000,DEATH,True,False
71,112,246,236.720000,SUCCESS,True,False
72,113,246,236.620000,SUCCESS,True,False
73,114,246,236.570000,SUCCESS,True,False
74,115,150,-12.160000,DEATH,True,False
75,116,153,-11.420000,DEATH,True,False
76,117,246,236.570000,SUCCESS,True,False
77,118,246,236.420000,SUCCESS,True,False
78,119,150,-11.810000,DEATH,True,False
79,120,246,236.570000,SUCCESS,True,False
80,121,246,236.620000,SUCCESS,True,False
81,122,246,236.620000,SUCCESS,True,False
82,123,246,236.570000,SUCCESS,True,False
83,124,148,-12.470000,DEATH,True,False
84,125,150,-12.160000,DEATH,True,False
85,126,246,236.620000,SUCCESS,True,False
86,127,246,236.570000,SUCCESS,True,False
87,128,149,-12.340000,DEATH,True,False
88,129,246,236.570000,SUCCESS,True,False
89,130,246,236.570000,SUCCESS,True,False
90,131,246,236.620000,SUCCESS,True,False
91,132,246,236.620000,SUCCESS,True,False
92,133,246,236.570000,SUCCESS,True,False
93,134,246,236.720000,SUCCESS,True,False
94,135,246,236.770000,SUCCESS,True,False
95,136,246,236.720000,SUCCESS,True,False
96,137,246,236.720000,SUCCESS,True,False
97,138,246,236.720000,SUCCESS,True,False
98,139,246,236.620000,SUCCESS,True,False
99,140,246,236.420000,SUCCESS,True,False
100,141,246,236.570000,SUCCESS,True,False
