episode,seed,steps,total_reward,result,terminated,truncated
1,42,1000,-36.841833,TIMEOUT,False,True
2,43,1000,-36.351833,TIMEOUT,False,True
3,44,1000,-36.351833,TIMEOUT,False,True
4,45,1000,-36.351833,TIMEOUT,False,True
5,46,1000,-36.351833,TIMEOUT,False,True
6,47,1000,-36.351833,TIMEOUT,False,True
7,48,1000,-36.841833,TIMEOUT,False,True
8,49,1000,-36.351833,TIMEOUT,False,True
9,50,1000,-36.841833,TIMEOUT,False,True
10,51,1000,-36.351833,TIMEOUT,False,True
11,52,1000,-36.351833,TIMEOUT,False,True
12,53,1000,-36.841833,TIMEOUT,False,True
13,54,1000,-36.351833,TIMEOUT,False,True
14,55,1000,-36.351833,TIMEOUT,False,True
15,56,1000,-36.351833,TIMEOUT,False,True
16,57,1000,-36.351833,TIMEOUT,False,True
17,58,1000,-36.841833,TIMEOUT,False,True
18,59,1000,-36.351833,TIMEOUT,False,True
19,60,1000,-36.841833,TIMEOUT,False,True
20,61,1000,-36.841833,TIMEOUT,False,True
21,62,1000,-36.351833,TIMEOUT,False,True
22,63,1000,-36.351833,TIMEOUT,False,True
23,64,1000,-36.351833,TIMEOUT,False,True
24,65,1000,-36.351833,TIMEOUT,False,True
25,66,1000,-36.351833,TIMEOUT,False,True
26,67,1000,-36.351833,TIMEOUT,False,True
27,68,1000,-36.351833,TIMEOUT,False,True
28,69,1000,-36.841833,TIMEOUT,False,True
29,70,1000,-36.351833,TIMEOUT,False,True
30,71,1000,-36.351833,TIMEOUT,False,True
31,72,1000,-36.351833,TIMEOUT,False,True
32,73,1000,-36.351833,TIMEOUT,False,True
33,74,1000,-36.351833,TIMEOUT,False,True
34,75,1000,-36.351833,TIMEOUT,False,True
35,76,1000,-36.351833,TIMEOUT,False,True
36,77,1000,-36.351833,TIMEOUT,False,True
37,78,1000,-36.351833,TIMEOUT,False,True
38,79,1000,-36.351833,TIMEOUT,False,True
39,80,1000,-36.351833,TIMEOUT,False,True
40,81,1000,-36.841833,TIMEOUT,False,True
41,82,1000,-36.351833,TIMEOUT,False,True
42,83,1000,-36.841833,TIMEOUT,False,True
43,84,1000,-36.841833,TIMEOUT,False,True
44,85,1000,-36.351833,TIMEOUT,False,True
45,86,1000,-36.351833,TIMEOUT,False,True
46,87,1000,-36.351833,TIMEOUT,False,True
47,88,1000,-36.351833,TIMEOUT,False,True
48,89,1000,-36.351833,TIMEOUT,False,True
49,90,1000,-36.351833,TIMEOUT,False,True
50,91,1000,-36.351833,TIMEOUT,False,True
51,92,1000,-36.351833,TIMEOUT,False,True
52,93,1000,-36.351833,TIMEOUT,False,True
53,94,1000,-36.841833,TIMEOUT,False,True
54,95,1000,-36.841833,TIMEOUT,False,True
55,96,1000,-36.351833,TIMEOUT,False,True
56,97,1000,-36.351833,TIMEOUT,False,True
57,98,1000,-36.351833,TIMEOUT,False,True
58,99,1000,-36.351833,TIMEOUT,False,True
59,100,1000,-36.351833,TIMEOUT,False,True
60,101,1000,-36.841833,TIMEOUT,False,True
61,102,1000,-36.351833,TIMEOUT,False,True
62,103,1000,-36.351833,TIMEOUT,False,True
63,104,1000,-36.351833,TIMEOUT,False,True
64,105,1000,-36.351833,TIMEOUT,False,True
65,106,1000,-36.351833,TIMEOUT,False,True
66,107,1000,-36.351833,TIMEOUT,False,True
67,108,1000,-36.351833,TIMEOUT,False,True
68,109,1000,-36.351833,TIMEOUT,False,True
69,110,1000,-36.351833,TIMEOUT,False,True
70,111,1000,-36.351833,TIMEOUT,False,True
71,112,1000,-36.351833,TIMEOUT,False,True
72,113,1000,-36.351833,TIMEOUT,False,True
73,114,1000,-36.351833,TIMEOUT,False,True
74,115,1000,-36.351833,TIMEOUT,False,True
75,116,1000,-36.351833,TIMEOUT,False,True
76,117,1000,-36.351833,TIMEOUT,False,True
77,118,1000,-36.351833,TIMEOUT,False,True
78,119,1000,-36.351833,TIMEOUT,False,True
79,120,1000,-36.841833,TIMEOUT,False,True
80,121,1000,-36.351833,TIMEOUT,False,True
81,122,1000,-36.841833,TIMEOUT,False,True
82,123,1000,-36.351833,TIMEOUT,False,True
83,124,1000,-36.351833,TIMEOUT,False,True
84,125,1000,-36.351833,TIMEOUT,False,True
85,126,1000,-36.841833,TIMEOUT,False,True
86,127,1000,-36.351833,TIMEOUT,False,True
87,128,1000,-36.351833,TIMEOUT,False,True
88,129,1000,-36.841833,TIMEOUT,False,True
89,130,1000,-36.841833,TIMEOUT,False,True
90,131,1000,-36.351833,TIMEOUT,False,True
91,132,1000,-36.351833,TIMEOUT,False,True
92,133,1000,-36.841833,TIMEOUT,False,True
93,134,1000,-36.351833,TIMEOUT,False,True
94,135,1000,-36.841833,TIMEOUT,False,True
95,136,1000,-36.841833,TIMEOUT,False,True
96,137,1000,-36.351833,TIMEOUT,False,True
97,138,1000,-36.351833,TIMEOUT,False,True
98,139,1000,-36.841833,TIMEOUT,False,True
99,140,1000,-36.841833,TIMEOUT,False,True
100,141,1000,-36.841833,TIMEOUT,False,True
