episode,seed,steps,total_reward,result,terminated,truncated
1,42,581,-91.929722,DEATH,True,False
2,43,317,-90.370556,DEATH,True,False
3,44,260,-92.436056,DEATH,True,False
4,45,268,-92.980500,DEATH,True,False
5,46,1000,29.130222,TIMEOUT,False,True
6,47,941,-100.601722,DEATH,True,False
7,48,798,-110.398167,DEATH,True,False
8,49,860,-119.078833,DEATH,True,False
9,50,263,-92.540000,DEATH,True,False
10,51,1000,27.540111,TIMEOUT,False,True
11,52,1000,-14.924444,TIMEOUT,False,True
12,53,1000,-24.343833,TIMEOUT,False,True
13,54,854,-109.145667,DEATH,True,False
14,55,1000,-11.384167,TIMEOUT,False,True
15,56,1000,-27.717889,TIMEOUT,False,True
16,57,366,-92.461333,DEATH,True,False
17,58,1000,-25.544389,TIMEOUT,False,True
18,59,1000,25.372333,TIMEOUT,False,True
19,60,1000,-22.534167,TIMEOUT,False,True
20,61,421,-94.285333,DEATH,True,False
21,62,315,-90.710056,DEATH,True,False
22,63,1000,-7.808111,TIMEOUT,False,True
23,64,532,-109.260500,DEATH,True,False
24,65,1000,-0.677167,TIMEOUT,False,True
25,66,1000,-19.595833,TIMEOUT,False,True
26,67,1000,-17.888500,TIMEOUT,False,True
27,68,688,-103.911278,DEATH,True,False
28,69,1000,-22.490333,TIMEOUT,False,True
29,70,1000,-14.073556,TIMEOUT,False,True
30,71,837,-100.951389,DEATH,True,False
31,72,685,-104.805056,DEATH,True,False
32,73,214,-85.691278,DEATH,True,False
33,74,1000,-27.279778,TIMEOUT,False,True
34,75,1000,-26.827778,TIMEOUT,False,True
35,76,105,-95.728278,DEATH,True,False
36,77,420,-106.740889,DEATH,True,False
37,78,901,-109.254111,DEATH,True,False
38,79,1000,-7.728111,TIMEOUT,False,True
39,80,473,-95.276278,DEATH,True,False
40,81,102,-94.525611,DEATH,True,False
41,82,1000,-27.903278,TIMEOUT,False,True
42,83,1000,-22.617278,TIMEOUT,False,True
43,84,1000,-6.193111,TIMEOUT,False,True
44,85,534,-109.574111,DEATH,True,False
45,86,1000,-13.054000,TIMEOUT,False,True
46,87,1000,-19.105000,TIMEOUT,False,True
47,88,783,-96.666333,DEATH,True,False
48,89,470,-95.136000,DEATH,True,False
49,90,578,-99.785611,DEATH,True,False
50,91,1000,-30.226944,TIMEOUT,False,True
51,92,949,-107.380333,DEATH,True,False
52,93,1000,-18.519944,TIMEOUT,False,True
53,94,1000,-28.219111,TIMEOUT,False,True
54,95,732,-92.554889,DEATH,True,False
55,96,1000,-18.795833,TIMEOUT,False,True
56,97,479,-88.612778,DEATH,True,False
57,98,315,-90.325000,DEATH,True,False
58,99,1000,-23.571111,TIMEOUT,False,True
59,100,1000,-27.654111,TIMEOUT,False,True
60,101,1000,-25.859667,TIMEOUT,False,True
61,102,1000,-20.880056,TIMEOUT,False,True
62,103,1000,-12.498333,TIMEOUT,False,True
63,104,689,-105.592111,DEATH,True,False
64,105,432,-94.833944,DEATH,True,False
65,106,162,-96.500389,DEATH,True,False
66,107,103,-90.226222,DEATH,True,False
67,108,1000,-23.518889,TIMEOUT,False,True
68,109,320,-89.482333,DEATH,True,False
69,110,1000,-22.781056,TIMEOUT,False,True
70,111,1000,-25.054667,TIMEOUT,False,True
71,112,468,-90.940778,DEATH,True,False
72,113,1000,-13.396333,TIMEOUT,False,True
73,114,102,-85.057611,DEATH,True,False
74,115,1000,-26.209278,TIMEOUT,False,True
75,116,1000,-26.999222,TIMEOUT,False,True
76,117,157,-94.358222,DEATH,True,False
77,118,1000,-14.964444,TIMEOUT,False,True
78,119,271,-91.609667,DEATH,True,False
79,120,1000,-25.281167,TIMEOUT,False,True
80,121,1000,-25.905167,TIMEOUT,False,True
81,122,536,-93.056500,DEATH,True,False
82,123,316,-61.968333,DEATH,True,False
83,124,1000,-16.767667,TIMEOUT,False,True
84,125,425,-82.982278,DEATH,True,False
85,126,315,-92.016167,DEATH,True,False
86,127,1000,-16.386611,TIMEOUT,False,True
87,128,484,-105.061667,DEATH,True,False
88,129,1000,-3.351667,TIMEOUT,False,True
89,130,1000,-23.095278,TIMEOUT,False,True
90,131,1000,-22.690611,TIMEOUT,False,True
91,132,624,-93.493667,DEATH,True,False
92,133,261,-96.149222,DEATH,True,False
93,134,581,-109.600556,DEATH,True,False
94,135,962,-104.254889,DEATH,True,False
95,136,164,-96.503389,DEATH,True,False
96,137,1000,-28.232944,TIMEOUT,False,True
97,138,317,-105.171833,DEATH,True,False
98,139,1000,-18.370278,TIMEOUT,False,True
99,140,999,-112.960611,DEATH,True,False
100,141,368,-77.087667,DEATH,True,False
